epoch,train_loss_opt,train_loss,train_acc,train_precision,train_recall,train_f1,train_iou,train_chip_acc,val_loss,val_acc,val_precision,val_recall,val_f1,val_iou,val_chip_acc
1,0.3482304848102202,0.3012598352798496,0.976794917240815,0.9627567573519598,0.9832468662582627,0.9728939332750364,0.947218573162775,0.9746911720397711,0.29821101244371595,0.9771604900118667,0.9617819927986461,0.9849481209185262,0.9732272131603691,0.9478506202855272,0.9760900140646976
2,0.3160527301480971,0.3047889058469761,0.969847694941765,0.9410038110930032,0.9909346504907349,0.9653239959463974,0.9329722558780759,0.9686652606206688,0.3018509052285736,0.9695099778316187,0.939584682150215,0.9914048474790436,0.9647994350913212,0.9319927726560309,0.9690576652601969
3,0.3081708514546774,0.29461267476491854,0.9799820962315691,0.9838614786268842,0.9686247535328522,0.9761836592418532,0.9534753745830633,0.9784573666767099,0.2909775391519279,0.9802604922094756,0.9873252977119005,0.9655601193233122,0.9763214155547466,0.9537382535469456,0.9789029535864979
4,0.30082589642829205,0.2875877799377889,0.9823370252829352,0.9720604197742863,0.9866554144009823,0.979303536189061,0.9594463983242947,0.9819222657426936,0.2843908623208846,0.9818850918325857,0.9729089121957191,0.9844313872618321,0.9786362294635027,0.9581661964962216,0.9824191279887482
5,0.29863721247178965,0.2838711572611839,0.9846492536314353,0.9773705774407491,0.9865987738770254,0.9819629901756924,0.9645651292851997,0.9841819825248569,0.2826532750191648,0.9839349202130577,0.9761628374183804,0.9859593872194669,0.9810366510474664,0.9627791439894253,0.9824191279887482
6,0.2974779056676899,0.28256276601137237,0.9838655247103559,0.9759818693340055,0.9861741978988644,0.9810515568278807,0.9628078566836158,0.9837300391684243,0.2826042352767473,0.9838945305632467,0.9747218064644801,0.9873940003495123,0.981016977148301,0.9627412478533258,0.9824191279887482
7,0.29113990240786447,0.2816129176781011,0.9845456740841084,0.9788647704345841,0.9847739460189536,0.9818104619893899,0.9642708308798438,0.9850858692377222,0.28399693538706877,0.9844490834596954,0.976621469336574,0.9867232853587776,0.9816463843783743,0.9639543466428095,0.9852320675105485
8,0.293234238351684,0.2912607981422243,0.9764128176696905,0.9534456050491997,0.9927840102737094,0.9727172364890274,0.9468836436961002,0.9751431153962037,0.2990331193327569,0.9702874678599679,0.9416004105998861,0.9909633732177567,0.9656514544009248,0.9335842044455642,0.969760900140647
9,0.2888855739889375,0.2819512611701075,0.9851796930904451,0.9928112418035092,0.9720465011537492,0.9823191449342572,0.9652526623348583,0.986140403736065,0.28073295848470264,0.9852227963475734,0.9889227436292557,0.9758697399385613,0.9823528782852612,0.9653178072730648,0.9859353023909986
10,0.28798072808478253,0.27444235310014564,0.9879900779160937,0.9804599024889856,0.9914017991279529,0.9859004874163589,0.972193049146846,0.9870442904489304,0.27847238686956005,0.9865666428363435,0.97737510207693,0.9910690826256496,0.9841744545294467,0.9688420110731607,0.9838255977496484
11,0.27737131687891053,0.2715310341400145,0.9904450097332591,0.9857160398617385,0.9918122204025418,0.988754728700811,0.9777595669932978,0.9900572461584815,0.28014054963973145,0.9879943160903433,0.9825783076726481,0.9890510309620606,0.9858040395650878,0.9720054978352239,0.9859353023909986
12,0.2753098211195095,0.2707245345632419,0.9908773405575615,0.9911406695042444,0.9872855592259607,0.9892093533809353,0.9786491066007512,0.9893040072310937,0.2780521905402161,0.9889360688071374,0.9885666978901742,0.9851427362157164,0.9868517421341502,0.9740447603227419,0.9866385372714487
13,0.2754333733794201,0.27116510442371133,0.9892193322154403,0.9799765633480324,0.9948738263400666,0.9873690011715583,0.9750531162769003,0.987194938234408,0.2765901527794388,0.9889674448262785,0.9807711355162981,0.9932979420679847,0.9869947882524919,0.9743235145069732,0.9880450070323488
